nuts2_id,year,country
BE31,1995,BE
BE31,1996,BE
BE31,1997,BE
BE31,1998,BE
BE31,1999,BE
BE31,2000,BE
BE31,2001,BE
BE31,2002,BE
BE31,2003,BE
BE31,2004,BE
BE31,2005,BE
BE31,2006,BE
BE31,2007,BE
BE31,2008,BE
BE31,2009,BE
BE31,2010,BE
BE31,2011,BE
BE31,2012,BE
BE31,2013,BE
BE31,2014,BE
BE31,2015,BE
BE31,2016,BE
BE31,2017,BE
BE31,2018,BE
BE31,2019,BE
BE31,2020,BE
BE31,2021,BE
BE31,2022,BE
BE31,2023,BE
BE31,2024,BE
BE31,2025,BE
BE32,1986,BE
BE32,1987,BE
BE32,1988,BE
BE32,1989,BE
BE32,1990,BE
BE32,1991,BE
BE32,1992,BE
BE32,1993,BE
BE32,1994,BE
BE32,1995,BE
BE32,1996,BE
BE32,1997,BE
BE32,1998,BE
BE32,1999,BE
BE32,2000,BE
BE32,2001,BE
BE32,2002,BE
BE32,2003,BE
BE32,2004,BE
BE32,2005,BE
BE32,2006,BE
BE32,2007,BE
BE32,2008,BE
BE32,2009,BE
BE32,2010,BE
BE32,2011,BE
BE32,2012,BE
BE32,2013,BE
BE32,2014,BE
BE32,2015,BE
BE32,2016,BE
BE32,2017,BE
BE32,2018,BE
BE32,2019,BE
BE32,2020,BE
BE32,2021,BE
BE32,2022,BE
BE32,2023,BE
BE32,2024,BE
BE32,2025,BE
BE33,1986,BE
BE33,1987,BE
BE33,1988,BE
BE33,1989,BE
BE33,1990,BE
BE33,1991,BE
BE33,1992,BE
BE33,1993,BE
BE33,1994,BE
BE33,1995,BE
BE33,1996,BE
BE33,1997,BE
BE33,1998,BE
BE33,1999,BE
BE33,2000,BE
BE33,2001,BE
BE33,2002,BE
BE33,2003,BE
BE33,2004,BE
BE33,2005,BE
BE33,2006,BE
BE33,2007,BE
BE33,2008,BE
BE33,2009,BE
BE33,2010,BE
BE33,2011,BE
BE33,2012,BE
BE33,2013,BE
BE33,2014,BE
BE33,2015,BE
BE33,2016,BE
BE33,2017,BE
BE33,2018,BE
BE33,2019,BE
BE33,2020,BE
BE33,2021,BE
BE33,2022,BE
BE33,2023,BE
BE33,2024,BE
BE33,2025,BE
BE34,1986,BE
BE34,1987,BE
BE34,1988,BE
BE34,1989,BE
BE34,1990,BE
BE34,1991,BE
BE34,1992,BE
BE34,1993,BE
BE34,1994,BE
BE34,1995,BE
BE34,1996,BE
BE34,1997,BE
BE34,1998,BE
BE34,1999,BE
BE34,2000,BE
BE34,2001,BE
BE34,2002,BE
BE34,2003,BE
