nuts2_id,year,unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva
BG41,2017,3.3,72.1,39.2,1.09,106
BG41,2018,2.6,73.8,39.8,1.13,108.6
BG41,2019,2.2,75.8,39.5,1.21,117
BG41,2020,3.5,74.1,42.7,1.28,114.9
BG41,2021,3.4,74,43.1,1.18,125.8
BG41,2022,3.1,75.9,43.2,1.17,133.2
BG41,2023,3.5,74.6,41.8,1.24,137.2
BG41,2024,2.8,73.8,42.9,,
BG42,2013,13.5,59.4,20.5,0.21,
BG42,2014,12,61.5,21.4,0.26,93.8
BG42,2015,9.3,61.6,21.5,0.51,100
BG42,2016,7.1,61.9,21.5,0.49,101.6
BG42,2017,5.3,67,22.2,0.48,104.1
BG42,2018,4.2,66.8,22.7,0.44,108.8
BG42,2019,3,69.5,22.5,0.54,111.6
BG42,2020,3.4,67.7,22,0.52,109.7
BG42,2021,3.9,66.4,22.6,0.46,116.5
BG42,2022,2.9,68.1,22.8,0.43,130.4
BG42,2023,3.1,69.4,24.9,0.41,126.8
BG42,2024,2.9,69,27.7,,
CH01,2013,7.4,72.4,37.8,,
CH01,2014,7.5,72.3,38.7,,
CH01,2015,7.5,72.9,39.2,,
CH01,2016,7.6,73.2,40.9,,
CH01,2017,7.9,73,42.2,,
CH01,2018,7.5,74.2,43.6,,
CH01,2019,7.5,73.7,43.7,,
CH01,2020,7.7,72.4,43.5,,
CH01,2021,7.6,72.1,43.7,,
CH01,2022,6.6,73,43.5,,
CH01,2023,6.7,73.4,45.2,,
CH01,2024,7.3,72.9,45.9,,
CH02,2013,4.2,79.7,35.3,,
CH02,2014,4.5,80.4,36.3,,
CH02,2015,4.4,80.8,37.5,,
CH02,2016,4.6,81.1,37.7,,
CH02,2017,4.2,81.9,39.4,,
CH02,2018,4.3,81.7,39.7,,
CH02,2019,3.8,82.3,40.4,,
CH02,2020,4.3,81.5,41.5,,
CH02,2021,4.4,81.7,41.1,,
CH02,2022,3.8,81.8,40.8,,
CH02,2023,3.5,82.5,41.8,,
CH02,2024,4,82.6,42.1,,
CH03,2013,4.4,79.1,39.1,,
CH03,2014,4.6,78.4,39.7,,
CH03,2015,4.3,79.2,40.6,,
CH03,2016,5,79.7,41.7,,
CH03,2017,4.4,80.1,43.1,,
CH03,2018,4.3,80,44.6,,
CH03,2019,3.5,81,45.9,,
CH03,2020,4.8,80.9,46.7,,
CH03,2021,4.8,80.3,45.1,,
CH03,2022,4.1,80.4,44.8,,
CH03,2023,3.9,80.9,46.2,,
