STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,na_item,National accounts indicator (ESA 2010),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT12,Niederösterreich,2023,,109.9,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT13,Wien,2014,,99.8,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT13,Wien,2015,,100,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT13,Wien,2016,,102.7,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT13,Wien,2017,,102.8,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT13,Wien,2018,,106.1,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT13,Wien,2019,,106.9,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT13,Wien,2020,,100.9,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT13,Wien,2021,,106,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT13,Wien,2022,,110.7,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT13,Wien,2023,,113.2,,,,,
